"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"1787",1,1,2,22,2,1,0,1,26500
"5314",1,6,1,22,2,1,0,1,46000
"4016",1,1,1,1,2,2,0,1,35000
"5551",1,1,1,21,2,1,0,1,52000
"5623",1,1,1,17,2,1,0,1,30000
"3580",1,1,1,17,2,1,0,1,56000
"3500",1,6,2,16,2,1,0,1,35480
"3824",1,2,1,16,2,2,0,1,101000
"343",1,2,1,21,2,1,0,1,54000
"3775",1,6,2,21,1,1,0,1,15600
"3377",1,6,2,18,2,1,0,1,8000
"1985",1,1,1,12,1,1,0,1,17700
"4589",1,1,2,21,2,1,0,1,38500
"5643",1,6,1,16,1,1,0,1,29300
"3721",1,1,1,17,2,1,0,1,29000
"2990",1,6,2,16,2,1,0,1,13200
"1037",1,1,1,23,2,2,0,1,222200
"940",1,6,2,19,2,1,0,6,44000
"379",1,1,1,16,2,1,0,1,39410
"1602",1,1,1,18,2,1,0,1,80000
"357",1,1,2,24,2,1,0,1,120000
"3473",3,1,1,16,2,2,0,1,47000
"3367",1,6,1,20,2,1,0,1,27000
